kHz ,Time(UTC),Days,ITU, Station ,Lng,Target, Remarks ,P,Start,Stop, Input     , Type ,Tone Out,Tone In, Alpha Tag , Mode , Tag ,County,City,Agency,Notes,Source,EchoLink(E),IRLP(I),WideArea(x),ARES(s)
131.200,,,,,,,Alaska Airlines Ops,,,,,,,,,,,,,SJC,,liveatc.net,,,,
131.700,,,,,,,Southwest Airlines Ops,,,,,,,,,,,,,SJC,,liveatc.net,,,,
131.950,,,,,,,ARINC San Francisco Radio,,,,,,,,,,,,,SFO,,liveatc.net,,,,
132.000,,,,,,,Horizon Air Ops,,,,,,,,,,,,,SJC,,liveatc.net,,,,
132.275,,,,,,,ASOS ,,,,,RM,,,WVI ASOS,AM ,Aircraft ,Santa Cruz,Wattsonville,,,RadioReference,,,,
133.950,,,,,,,Norcal Approach - Boulder,,,,,,,,,,,,,SFO,,liveatc.net,,,,
134.150,,,,,,,Oakland Center Sector 35,,,,,,,,,,,,,SFO,,liveatc.net,,,,
134.150,,,,,,,Oakland Center (Sector 35),,,,,,,,,,,,,SFO,,liveatc.net,,,,
134.500,,,,,,,Norcal Approach - SE,,,,,,,,,,,,,SFO,,liveatc.net,,,,
135.100,,,,,,,Norcal Approach - W,,,,,,,,,,,,,SFO,,liveatc.net,,,,
135.100,,,,,,,Norcal Departure,,,,,,,,,,,,,SFO,,liveatc.net,,,,
135.100,,,,,,,NORCAL Departure (Southwest Departures),,,,,,,,,,,,,OAK,,liveatc.net,,,,
135.200,,,,,,,NORCAL Approach,,,,,,,,,,,,,SJC,,liveatc.net,,,,
135.650,,,,,,,Norcal Approach - Woodside,,,,,,,,,,,,,SFO,,liveatc.net,,,,
135.650,,,,,,,Norcal Approach - S ,,,,,,,,,,,,,SFO,,liveatc.net,,,,
145.170,,,,W6UNI,,,Not Coordinated,,,,144.570,,,151.4,W6UNI,FMN,Ham,,Watsonville,,#o151.4,narcc.org,,,,
145.170,,,,K6GL,,,Coordinated,,,,144.570,,,94.8,SNNYVLARES,FMN,Ham,,Sunnyvale,,o94.8ers,narcc.org,,,,y
145.190,,,,WA2IBM,,,Not Coordinated,,,,144.590,,,151.4,IBM ARC,FMN,Ham,,San Jose,,#o151.4ae,narcc.org,,,,
145.210,,,,KB6FEC,,,Pending,,,,144.610,,,114.8,AREA,FMN,Ham,,San Jose,,#o114.8rs,narcc.org,,,,y
145.210,,,,N6HU,,,Coordinated,,,,144.610,,,,KQ6RC,FMN,Ham,,Soledad,,cel,narcc.org,,,,
145.230,,,,N6NFI,,,Coordinated,,,,144.630,,,100.0,SPARK/SARS,FMN,Ham,,Palo Alto,,o100.0aersx,narcc.org,,,y,y
145.250,,,,W6PEK,,,Not Coordinated,,,,144.650,,,100.0,W6PAD,FMN,Ham,,Santa Cruz,,#o100.0s,narcc.org,,,,y
145.250,,,,NA6MF,,,Coordinated,,,,144.650,,,123.0,Ames ARC,FMN,Ham,,Moffett Field,,o123.0rs,narcc.org,,,,y
145.270,,,,W6ASH,,,Coordinated,,,,144.670,,,100.0,SPECS RA,FMN,Ham,,Mountain View,,o100.0aelrs,narcc.org,,,,y
145.290,,,,W6TUW ,,,Portable Repeater ,,,,144.690,RM,94.8 PL,,Portable,FM ,Ham ,Santa Cruz,,VHF ARES,,RadioReference,,,,
145.290,,,,KC6WRD,,,Coordinated,,,,144.690,,,,FCC,FMN,Ham,,SanLuisObispo,,ce,narcc.org,,,,
145.310,,,,KB6FEC,,,Coordinated,,,,144.710,,,162.2,AREA,FMN,Ham,,San Jose,,o162.2rs,narcc.org,,,,y
145.330,,,,W6DNC,,,Not Coordinated,,,,144.730,,,123.0,W6DNC,FMN,Ham,,Watsonville,,#o123.0elsx,narcc.org,,,y,y
145.350,,,,KI6YDR,,,Coordinated,,,,144.750,,,94.8,KI6YDR,FMN,Ham,,Boulder Creek,,o94.8e,narcc.org,,,,
